"","Latitude","Longitude","X100","NPP"
"407",-72.5,-25.5,-1.957,1017.72
"408",-72.5,-24.5,-1.706,1017.72
"409",-72.5,-23.5,-1.643,1017.72
"410",-72.5,-22.5,-1.813,1017.72
"411",-72.5,-21.5,-1.781,1017.72
"412",-72.5,-20.5,-1.793,1017.72
"413",-72.5,-19.5,-1.866,1017.72
"414",-72.5,171.5,-1.86,378.452666666667
"415",-72.5,173.5,-1.157,183.006
"416",-72.5,174.5,-0.991,148.39425
"417",-72.5,175.5,-1.04,160.23185
"418",-72.5,176.5,-0.699,164.1965
"419",-72.5,177.5,-1.264,148.0044
"420",-72.5,178.5,-1.328,160.0852
"421",-72.5,179.5,-1.181,159.549425
"422",-71.5,-179.5,-0.251,133.4609
"423",-71.5,-178.5,-0.648,140.72845
"424",-71.5,-176.5,-0.44,146.884925
"425",-71.5,-175.5,-1.588,152.539825
"426",-71.5,-174.5,-1.452,131.542425
"427",-71.5,-171.5,-1.792,125.151
"428",-71.5,-170.5,-1.61,98.5937
"429",-71.5,-169.5,-0.934,98.5937
"430",-71.5,-168.5,-0.579,106.916
"431",-71.5,-164.5,-1.306,457.0215
"432",-71.5,-163.5,-1.207,294.929
"433",-71.5,-162.5,-1.215,270.653
"434",-71.5,-161.5,-1.214,325.3435
"435",-71.5,-160.5,-1.392,312.504
"436",-71.5,-158.5,-1.651,402.7365
"437",-71.5,-157.5,-1.268,339.221
"438",-71.5,-156.5,-1.479,367.509
"439",-71.5,-155.5,-1.597,339.649666666667
"440",-71.5,-154.5,-1.739,381.724333333333
"441",-71.5,-153.5,-1.774,324.473
"442",-71.5,-152.5,-1.778,381.109
"443",-71.5,-151.5,-1.487,355.9115
"444",-71.5,-150.5,-1.132,343.924
"445",-71.5,-148.5,-1.178,214.519
"446",-71.5,-147.5,-1.399,220.7995
"447",-71.5,-139.5,-1.396,406.6345
"448",-71.5,-138.5,-1.246,406.6345
"449",-71.5,-137.5,-1.298,385.056
"450",-71.5,-135.5,NA,412.067
"451",-71.5,-134.5,-0.241,310.6145
"452",-71.5,-133.5,-0.591,339.085
"453",-71.5,-132.5,-1.671,625.307
"454",-71.5,-131.5,-1.413,625.307
