"","df71.z_star","df71.Longitude","df71.Latitude"
"137",364.165372900248,164.5,-75.5
"138",395.194860290747,165.5,-75.5
"139",766.070203624293,166.5,-75.5
"140",1283.82358325084,167.5,-75.5
"141",1328.07087201281,168.5,-75.5
"142",688.131286486568,169.5,-75.5
"143",445.120558994853,170.5,-75.5
"144",432.138163485224,171.5,-75.5
"145",388.450906410524,172.5,-75.5
"146",327.702965525936,173.5,-75.5
"147",350.108042137418,174.5,-75.5
"148",410.928942329202,175.5,-75.5
"149",384.759928772665,176.5,-75.5
"150",381.602208748236,177.5,-75.5
"151",395.834601471078,178.5,-75.5
"152",375.344408781172,179.5,-75.5
"153",281.532098624569,-179.5,-74.5
"154",291.605181879106,-177.5,-74.5
"155",290.625852298821,-176.5,-74.5
"156",283.762054386582,-175.5,-74.5
"157",279.083227549174,-174.5,-74.5
"158",386.055602242724,-170.5,-74.5
"159",387.959299004127,-169.5,-74.5
"160",390.445680661037,-168.5,-74.5
"161",408.851602738598,-167.5,-74.5
"162",443.737647434532,-166.5,-74.5
"163",319.708301047403,-165.5,-74.5
"164",411.376250797704,-164.5,-74.5
"165",358.957442088623,-163.5,-74.5
"166",332.087935287554,-162.5,-74.5
"167",349.566350626885,-161.5,-74.5
"168",370.545214613896,-160.5,-74.5
"169",356.846543473035,-159.5,-74.5
"170",320.85808689108,-158.5,-74.5
"171",328.27520644782,-157.5,-74.5
"172",314.50937402368,-156.5,-74.5
"173",465.800264466605,-151.5,-74.5
"174",421.821817763936,-150.5,-74.5
"175",402.159355779112,-148.5,-74.5
"176",415.088734318754,-147.5,-74.5
"177",425.934925291823,-145.5,-74.5
"178",447.676571877355,-144.5,-74.5
"179",645.552491331531,-143.5,-74.5
"180",277.48533866876,-108.5,-74.5
"181",272.474767252786,-51.5,-74.5
"182",307.002497715378,-49.5,-74.5
"183",270.616032327196,-48.5,-74.5
"184",281.241134201225,-47.5,-74.5
"185",312.271925385019,-46.5,-74.5
"186",279.182804971375,-45.5,-74.5
"187",290.861865301109,-44.5,-74.5
"188",279.027842127174,-43.5,-74.5
"189",294.509784057837,-42.5,-74.5
"190",267.364568405194,-41.5,-74.5
"191",302.634860290167,-40.5,-74.5
"192",294.918856899842,-39.5,-74.5
"193",311.060639145012,-38.5,-74.5
"194",296.453868489806,-37.5,-74.5
"195",273.573768388345,-36.5,-74.5
"196",299.432204036787,-35.5,-74.5
"197",316.912187142934,-34.5,-74.5
"198",320.65939845119,-33.5,-74.5
"199",287.522227894326,-32.5,-74.5
"200",286.717014250313,-31.5,-74.5
"201",301.654890705588,-30.5,-74.5
"202",288.23312291289,-29.5,-74.5
"203",317.463811423692,-28.5,-74.5
"204",322.372820815241,-27.5,-74.5
"205",281.940572512947,-26.5,-74.5
"206",331.767587935602,-25.5,-74.5
"207",394.132238492598,166.5,-74.5
"208",648.142605731938,167.5,-74.5
"209",665.003418480137,168.5,-74.5
"210",622.011133074708,169.5,-74.5
"211",455.617558534116,170.5,-74.5
"212",431.192153474818,171.5,-74.5
"213",399.966508897572,172.5,-74.5
"214",324.023562434224,173.5,-74.5
"215",308.895667227635,174.5,-74.5
"216",290.389912460097,175.5,-74.5
"217",344.207659400702,176.5,-74.5
"218",349.902609159188,177.5,-74.5
"219",295.104520549537,178.5,-74.5
"220",317.343550596829,179.5,-74.5
"221",311.649973487595,-177.5,-73.5
"222",325.280747311694,-176.5,-73.5
"223",313.831112703388,-175.5,-73.5
"224",304.997357279633,-174.5,-73.5
"225",294.531827150258,-173.5,-73.5
"226",337.376802759615,-172.5,-73.5
"227",368.005335936742,-171.5,-73.5
"228",366.550696474049,-170.5,-73.5
"229",356.937318108209,-169.5,-73.5
"230",340.634944192826,-168.5,-73.5
"231",350.1006015024,-167.5,-73.5
"232",288.174356190986,-166.5,-73.5
"233",308.117296596843,-165.5,-73.5
"234",315.936004272378,-164.5,-73.5
"235",306.330100178591,-163.5,-73.5
"236",295.143647109755,-162.5,-73.5
"237",309.571057797964,-161.5,-73.5
"238",344.581552140175,-160.5,-73.5
"239",302.858865897399,-159.5,-73.5
"240",316.318504044502,-158.5,-73.5
"241",334.585020387705,-157.5,-73.5
"242",324.509932000172,-156.5,-73.5
"243",333.141295779187,-155.5,-73.5
"244",360.095226070747,-154.5,-73.5
"245",349.103749425102,-153.5,-73.5
"246",324.552206385237,-152.5,-73.5
"247",326.582979797092,-151.5,-73.5
"248",359.803429245174,-150.5,-73.5
"249",327.185907892807,-149.5,-73.5
"250",335.940939592926,-148.5,-73.5
"251",342.66942338711,-146.5,-73.5
"252",350.584078665845,-145.5,-73.5
"253",440.067613965736,-144.5,-73.5
"254",303.666365573058,-143.5,-73.5
"255",365.77467882324,-142.5,-73.5
"256",424.985994209869,-141.5,-73.5
"257",388.050283456855,-140.5,-73.5
"258",349.83679270397,-134.5,-73.5
"259",369.21072247069,-133.5,-73.5
