"","df71.POC1000","df71.Longitude","df71.Latitude"
"60",7.79480306580712,-40.5,-76.5
"61",6.56403505068582,-39.5,-76.5
"62",6.13475892043331,-38.5,-76.5
"63",5.67689984323982,-37.5,-76.5
"64",6.47040389025517,-36.5,-76.5
"65",7.31548760200024,-35.5,-76.5
"66",6.44512349348153,-34.5,-76.5
"67",5.14465617309348,-33.5,-76.5
"68",5.5503587086583,-32.5,-76.5
"69",5.49684364871108,-31.5,-76.5
"70",12,164.5,-76.5
"71",12,165.5,-76.5
"72",12,166.5,-76.5
"73",12,167.5,-76.5
"74",12,168.5,-76.5
"75",12,169.5,-76.5
"76",12,170.5,-76.5
"77",12,171.5,-76.5
"78",12,172.5,-76.5
"79",12,173.5,-76.5
"80",12,174.5,-76.5
"81",12,175.5,-76.5
"82",12,176.5,-76.5
"83",12,177.5,-76.5
"84",12,178.5,-76.5
"85",12,179.5,-76.5
"86",12,-179.5,-75.5
"87",12,-178.5,-75.5
"88",3.12618396685554,-175.5,-75.5
"89",3.5374647909423,-174.5,-75.5
"90",4.07599430643423,-173.5,-75.5
"91",6.23733106925325,-172.5,-75.5
"92",4.34456108551374,-171.5,-75.5
"93",6.93706976684375,-170.5,-75.5
"94",5.3576552795781,-169.5,-75.5
"95",9.82331845135331,-168.5,-75.5
"96",8.56890425773511,-167.5,-75.5
"97",9.10802677148747,-166.5,-75.5
"98",12,-159.5,-75.5
"99",12,-158.5,-75.5
"100",12,-157.5,-75.5
"101",12,-156.5,-75.5
"102",12,-155.5,-75.5
"103",12,-154.5,-75.5
"104",12,-153.5,-75.5
"105",12,-152.5,-75.5
"106",12,-151.5,-75.5
"107",12,-150.5,-75.5
"108",12,-149.5,-75.5
"109",3.06797433865129,-54.5,-75.5
"110",3.07438792734836,-53.5,-75.5
"111",3.5275718028614,-52.5,-75.5
"112",4.27605993150559,-51.5,-75.5
"113",2.85932783998307,-50.5,-75.5
"114",3.55079894328101,-49.5,-75.5
"115",3.29846442335308,-48.5,-75.5
"116",2.87674157160035,-47.5,-75.5
"117",3.04946531515828,-46.5,-75.5
"118",3.14646786642709,-45.5,-75.5
"119",4.52503406523059,-44.5,-75.5
