"","Latitude","Longitude","X100","NPP","W","K","z_star"
"95",-75.5,-168.5,-1.842,436.2685,3.64198050276756,0.01,364.198050276756
"96",-75.5,-167.5,-1.801,486.8775,3.7468545283159,0.0113,331.58004675362
"97",-75.5,-166.5,-1.728,528.86,3.85695680636963,0.0117,329.65442789484
"99",-75.5,-159.5,-1.788,1051.13366666667,4.83455954670275,0.0101,478.669262049778
"100",-75.5,-158.5,-1.823,1233.22533333333,5.22053573784845,0.0108,483.382938689671
"101",-75.5,-157.5,-1.827,1114.842,4.94783392846019,0.0105,471.22227890097
"102",-75.5,-156.5,-1.809,1001.677,4.71474035028231,0.011,428.612759116574
"103",-75.5,-155.5,-1.834,941.473,4.57324158436216,0.0101,452.796196471501
"104",-75.5,-154.5,-1.834,1080.342,4.86713280933804,0.0114,426.941474503337
"105",-75.5,-153.5,-1.831,1064.58333333333,4.83486721770939,0.0114,424.111159448192
"106",-75.5,-152.5,-1.806,1033.50566666667,4.78451859290369,0.0102,469.070450284675
"107",-75.5,-151.5,-1.826,1707.91,6.45645039164333,0.0113,571.36729129587
"108",-75.5,-150.5,-1.736,1095.46,4.96735822637492,0.0102,486.99590454656
"109",-75.5,-149.5,-1.669,1095.46,5.01376920820376,0.0109,459.978826440712
"110",-75.5,-54.5,-1.897,250.66,3.32559311815584,0.0114,291.718694575074
"111",-75.5,-53.5,-1.891,250.66,3.3283638895717,0.0114,291.961744699272
"112",-75.5,-52.5,-1.884,250.66,3.33159937406222,0.0109,305.651318721305
"113",-75.5,-51.5,-1.873,250.66,3.33669006259109,0.0102,327.126476724617
"114",-75.5,-50.5,-1.867,250.66,3.33947007960476,0.0117,285.424793128612
"115",-75.5,-49.5,-1.864,250.66,3.34086095657198,0.0109,306.50100519009
"116",-75.5,-48.5,-1.843,250.66,3.35061332912445,0.0112,299.161904386111
"117",-75.5,-47.5,-1.85,250.66,3.34735937922143,0.0117,286.099092241148
"118",-75.5,-46.5,-1.837,250.66,3.35340494653165,0.0115,291.600430133187
"119",-75.5,-45.5,-1.824,250.66,3.35946143256316,0.0114,294.689599347646
"120",-75.5,-44.5,-1.864,250.66,3.34086095657198,0.01,334.086095657198
"121",-75.5,-43.5,-1.879,250.66,3.33391235986515,0.0108,308.695588876403
"122",-75.5,-42.5,-1.838,250.66,3.35293951549659,0.0116,289.046509956602
"123",-75.5,-41.5,-1.843,250.66,3.35061332912445,0.0119,281.564145304575
"124",-75.5,-40.5,-1.837,250.66,3.35340494653165,0.0108,310.50045801219
"125",-75.5,-39.5,-1.847,250.66,3.34875354205284,0.011,304.432140186622
"126",-75.5,-38.5,-1.856,250.66,3.34457279458277,0.0114,293.383578472173
"127",-75.5,-37.5,-1.849,250.66,3.34782403566197,0.0108,309.983707005738
"128",-75.5,-36.5,-1.87,250.66,3.33807978169149,0.0108,309.08146126773
"129",-75.5,-35.5,-1.861,250.66,3.34225241283433,0.0113,295.774549808348
