"","df71.Fz0","df71.Longitude","df71.Latitude"
"362",120,-117.5,-72.5
"363",120,-116.5,-72.5
"364",120,-115.5,-72.5
"365",120,-114.5,-72.5
"366",120,-113.5,-72.5
"367",120,-112.5,-72.5
"368",120,-111.5,-72.5
"369",120,-110.5,-72.5
"370",120,-109.5,-72.5
"371",120,-108.5,-72.5
"372",120,-107.5,-72.5
"373",120,-106.5,-72.5
"374",120,-105.5,-72.5
"375",120,-104.5,-72.5
"376",120,-85.5,-72.5
"377",120,-84.5,-72.5
"378",120,-83.5,-72.5
"379",120,-82.5,-72.5
"380",120,-81.5,-72.5
"381",120,-80.5,-72.5
"382",120,-43.5,-72.5
"383",120,-42.5,-72.5
"384",120,-41.5,-72.5
"385",120,-40.5,-72.5
"386",120,-39.5,-72.5
"387",120,-38.5,-72.5
"388",120,-37.5,-72.5
"389",120,-36.5,-72.5
"390",120,-35.5,-72.5
"391",120,-34.5,-72.5
"392",120,-33.5,-72.5
"393",120,-32.5,-72.5
"394",120,-31.5,-72.5
"395",120,-30.5,-72.5
"396",120,-29.5,-72.5
"397",120,-28.5,-72.5
"398",120,-27.5,-72.5
"399",120,-26.5,-72.5
"400",120,-25.5,-72.5
"401",120,-24.5,-72.5
"402",120,-23.5,-72.5
"403",120,-22.5,-72.5
"404",120,-21.5,-72.5
"405",120,-20.5,-72.5
"406",120,-19.5,-72.5
"407",101.009547285872,171.5,-72.5
"408",46.1733581867894,173.5,-72.5
"409",36.9467103364064,174.5,-72.5
"410",40.0506882764818,175.5,-72.5
"411",39.9371876550466,176.5,-72.5
"412",37.6632957619149,177.5,-72.5
"413",40.9466583357635,178.5,-72.5
"414",40.3325073895086,179.5,-72.5
"415",31.3186128636829,-179.5,-71.5
"416",34.0897303744144,-178.5,-71.5
"417",34.9938904270318,-176.5,-71.5
"418",39.8367454726642,-175.5,-71.5
"419",33.9814046554477,-174.5,-71.5
"420",33.2217585144632,-171.5,-71.5
"421",25.7937288611593,-170.5,-71.5
"422",24.4358519231138,-169.5,-71.5
"423",25.756512541451,-168.5,-71.5
"424",116.691589312576,-164.5,-71.5
"425",74.7103531818613,-163.5,-71.5
"426",68.604737186813,-162.5,-71.5
"427",82.4610101345091,-161.5,-71.5
"428",80.3427051017325,-160.5,-71.5
