"","Temperature.X100","Temperature.Longitude","Temperature.Latitude"
"505",-1.839,-40.5,-71.5
"506",-1.807,-39.5,-71.5
"507",-1.731,-38.5,-71.5
"508",-1.761,-37.5,-71.5
"509",-1.732,-36.5,-71.5
"510",-1.819,-35.5,-71.5
"513",-1.872,-32.5,-71.5
"517",-1.862,-27.5,-71.5
"518",-1.865,-26.5,-71.5
"519",-1.862,-25.5,-71.5
"520",-1.43,-24.5,-71.5
"521",-1.412,-23.5,-71.5
"522",-1.401,-22.5,-71.5
"523",-1.42,-21.5,-71.5
"524",-1.37,-20.5,-71.5
"525",-1.78,-19.5,-71.5
"526",-1.561,-18.5,-71.5
"527",-1.753,-17.5,-71.5
"528",-1.803,-16.5,-71.5
"529",-1.845,-15.5,-71.5
"530",-1.863,-14.5,-71.5
"531",-1.849,-13.5,-71.5
"532",-1.869,-12.5,-71.5
"533",-1.241,172.5,-71.5
"534",-0.677,173.5,-71.5
"535",-1.434,174.5,-71.5
"536",-1.8,175.5,-71.5
"537",-1.151,176.5,-71.5
"538",-0.463,177.5,-71.5
"539",-1.7,179.5,-71.5
"540",-1.812,-179.5,-70.5
"541",-1.76,-178.5,-70.5
"542",-1.745,-177.5,-70.5
"543",-1.735,-173.5,-70.5
"544",-1.589,-172.5,-70.5
"545",-1.813,-171.5,-70.5
"546",-0.993,-162.5,-70.5
"547",-0.994,-161.5,-70.5
"548",-1.008,-160.5,-70.5
"549",-1.773,-159.5,-70.5
"550",-1.727,-158.5,-70.5
"551",-1.748,-157.5,-70.5
"552",-1.378,-156.5,-70.5
"553",-1.606,-155.5,-70.5
"554",-1.465,-154.5,-70.5
"555",-1.515,-153.5,-70.5
"556",-1.411,-152.5,-70.5
"557",-1.468,-151.5,-70.5
"558",-1.363,-150.5,-70.5
"559",-1.219,-149.5,-70.5
"560",-1.703,-148.5,-70.5
"561",-1.709,-147.5,-70.5
"562",-1.383,-146.5,-70.5
"563",-1.252,-143.5,-70.5
"564",-1.461,-142.5,-70.5
"565",-1.633,-141.5,-70.5
"566",-1.311,-140.5,-70.5
"567",-1.464,-139.5,-70.5
"568",-1.555,-138.5,-70.5
"569",-1.555,-137.5,-70.5
"570",-1.586,-136.5,-70.5
"571",-1.222,-135.5,-70.5
"572",-1.487,-134.5,-70.5
"573",-1.165,-133.5,-70.5
"574",-0.277,-132.5,-70.5
"575",-0.27,-131.5,-70.5
"576",-1.053,-130.5,-70.5
"577",-0.978,-129.5,-70.5
"578",-1.047,-126.5,-70.5
"579",-0.869,-125.5,-70.5
"580",-1.169,-122.5,-70.5
"581",-1.302,-121.5,-70.5
"582",-1.186,-116.5,-70.5
"583",-1.013,-115.5,-70.5
"584",-1.576,-112.5,-70.5
